work_order_id,serial_number,station_code,status,started_date,completed_date,hours_booked,standard_hours
WO-5048,TA7-036,ST-80,In Progress,2026-09-03,,264,340
WO-5049,TA7-037,ST-10,Complete,2026-05-15,2026-06-02,320,320
WO-5050,TA7-037,ST-20,Complete,2026-06-02,2026-06-21,280,280
WO-5051,TA7-037,ST-30,Complete,2026-06-21,2026-07-08,240,240
WO-5052,TA7-037,ST-40,Complete,2026-07-08,2026-08-04,400,400
WO-5053,TA7-037,ST-50,Complete,2026-08-04,2026-08-25,300,300
WO-5054,TA7-037,ST-60,Complete,2026-08-25,2026-09-12,260,260
WO-5055,TA7-037,ST-70,In Progress,2026-09-12,,106,160
WO-5056,TA7-038,ST-10,Complete,2026-06-04,2026-06-22,320,320
WO-5057,TA7-038,ST-20,Complete,2026-06-22,2026-07-11,280,280
WO-5058,TA7-038,ST-30,Complete,2026-07-11,2026-07-28,240,240
WO-5059,TA7-038,ST-40,Complete,2026-07-28,2026-08-24,400,400
WO-5060,TA7-038,ST-50,Complete,2026-08-24,2026-09-14,300,300
WO-5061,TA7-038,ST-60,Blocked,2026-09-14,,197,260
WO-5062,TA7-039,ST-10,Complete,2026-06-24,2026-07-12,320,320
WO-5063,TA7-039,ST-20,Complete,2026-07-12,2026-07-31,280,280
WO-5064,TA7-039,ST-30,Complete,2026-07-31,2026-08-17,240,240
WO-5065,TA7-039,ST-40,Complete,2026-08-17,2026-09-13,400,400
WO-5066,TA7-039,ST-50,In Progress,2026-09-13,,114,300
WO-5067,TA7-040,ST-10,Complete,2026-07-11,2026-07-29,320,320
WO-5068,TA7-040,ST-20,Complete,2026-07-29,2026-08-17,280,280
WO-5069,TA7-040,ST-30,Complete,2026-08-17,2026-09-03,240,240
WO-5070,TA7-040,ST-40,Blocked,2026-09-03,,110,400
WO-5071,TA7-041,ST-10,Complete,2026-08-04,2026-08-22,320,320
WO-5072,TA7-041,ST-20,Complete,2026-08-22,2026-09-10,280,280
WO-5073,TA7-041,ST-30,In Progress,2026-09-10,,105,240
WO-5074,TA7-042,ST-10,Complete,2026-08-21,2026-09-08,320,320
WO-5075,TA7-042,ST-20,Blocked,2026-09-08,,103,280
